Code,Company name,GICS industry group,High,Low,Open,Close,Volume,Adj Close,moving_20,moving_100,std,price_change,pc_change,short_pred,long_pred
BKW,BRICKWORKS LIMITED,Materials,17.190000534057617,16.700000762939453,16.780000686645508,17.190000534057617,118222.0,17.19,16.679999923706056,16.940880918502806,2.7306338069184988,0.41,2.44,BUY,BUY
BWP,BWP TRUST,Real Estate,3.825000047683716,3.7899999618530273,3.7899999618530273,3.809999942779541,1277998.0,3.81,3.8102417469024656,3.6413404512405396,0.8138563035966723,0.02,0.53,SELL,BUY
CTX,CALTEX AUSTRALIA LIMITED,Energy,25.825000762939453,25.549999237060547,25.610000610351562,25.700000762939453,511800.0,25.7,25.201500129699706,26.45540449142456,8.643304979246917,0.09,0.35,BUY,SELL
CAR,CARSALES.COM LIMITED.,Media & Entertainment,13.899999618530273,13.710000038146973,13.859999656677246,13.819999694824219,400781.0,13.82,13.934000015258789,13.304314174652099,3.470832688706645,-0.04,-0.29,SELL,BUY
CGF,CHALLENGER LIMITED,Diversified Financials,6.824999809265137,6.730000019073486,6.760000228881836,6.78000020980835,1455570.0,6.78,6.732999992370606,7.633249983787537,3.3268210903516304,0.02,0.3,BUY,SELL
CHC,CHARTER HALL GROUP,Real Estate,11.664999961853027,11.454999923706055,11.619999885559082,11.579999923706055,1422178.0,11.58,11.363684797286988,10.232102460861206,2.1591478998636795,-0.04,-0.34,BUY,BUY
CLW,CHARTER HALL LONG WALE REIT,Real Estate,5.175000190734863,5.110000133514404,5.110000133514404,5.150000095367432,258673.0,5.15,5.137356853485107,4.693134474754333,0.4510879010246041,0.04,0.78,BUY,BUY
CQR,CHARTER HALL RETAIL REIT,Real Estate,4.525000095367432,4.46999979019165,4.480000019073486,4.510000228881836,527412.0,4.51,4.49581093788147,4.4605539655685424,0.8763709201452049,0.03,0.67,BUY,BUY
CNU,CHORUS LIMITED,Telecommunication Services,5.260000228881836,5.179999828338623,5.239999771118164,5.190000057220459,1450060.0,5.19,5.386500000953674,5.518603053092956,1.151876324170972,-0.05,-0.95,SELL,SELL
CIM,CIMIC GROUP LIMITED,Capital Goods,37.849998474121094,36.45000076293945,37.31999969482422,36.56999969482422,1470604.0,36.57,44.55200023651123,46.523538208007814,11.618834302149002,-0.75,-2.01,SELL,SELL
CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,Commercial & Professional Services,2.4800000190734863,2.424999952316284,2.4800000190734863,2.450000047683716,1857352.0,2.45,2.403500032424927,2.2727527689933775,0.42693722604964346,-0.03,-1.21,BUY,BUY
CUV,CLINUVEL PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",33.0,30.81999969482422,33.0,31.200000762939453,301234.0,31.2,33.93099994659424,29.343600006103514,6.6667546911589834,-1.8,-5.45,SELL,BUY
CCL,COCA-COLA AMATIL LIMITED,"Food, Beverage & Tobacco",10.524999618530273,10.4399995803833,10.4399995803833,10.479999542236328,973892.0,10.48,10.349000024795533,9.205199995040893,0.9453713066334694,0.04,0.38,BUY,BUY
COH,COCHLEAR LIMITED,Health Care Equipment & Services,221.8000030517578,218.9600067138672,220.72000122070312,219.11000061035156,135576.0,219.11,214.98800048828124,191.34688186645508,50.841892540112674,-1.61,-0.73,BUY,BUY
COL,COLES GROUP LIMITED.,Food & Staples Retailing,14.09000015258789,13.880000114440918,13.90999984741211,13.930000305175781,1620603.0,13.93,13.63899998664856,12.583399991989136,0.7062893863114217,0.02,0.14,BUY,BUY
CBA,COMMONWEALTH BANK OF AUSTRALIA.,Banks,82.2699966430664,81.37000274658203,81.5,82.08999633789062,2208256.0,82.09,81.70749893188477,76.16969985961914,16.175298860832626,0.59,0.72,BUY,BUY
CPU,COMPUTERSHARE LIMITED.,Software & Services,16.6200008392334,16.25,16.469999313354492,16.559999465942383,832353.0,16.56,16.614500045776367,17.18169998168945,3.6743098577671303,0.09,0.55,SELL,SELL
